Dominican Republic,89,5.16,1.03,0.58,0.52,0.12,0.21
Morocco,90,5.15,0.84,0.59,0.26,0.08,0.04
Hungary,91,5.14,1.24,0.68,0.2,0.04,0.1
Pakistan,92,5.13,0.69,0.4,0.15,0.14,0.31
Lebanon,93,5.13,1.12,0.76,0.26,0.03,0.24
Portugal,94,5.12,1.28,0.79,0.45,0.02,0.12
Macedonia,95,5.12,1.02,0.65,0.28,0.07,0.24
Vietnam,96,5.06,0.74,0.66,0.56,0.12,0.25
Somaliland Region,97,5.06,0.26,0.33,0.39,0.37,0.51
Tunisia,98,5.04,0.98,0.6,0.24,0.08,0.04
Greece,99,5.03,1.25,0.8,0.06,0.04,0
Tajikistan,100,5,0.49,0.53,0.43,0.14,0.26
Mongolia,101,4.91,0.99,0.55,0.36,0.03,0.35
Laos,102,4.88,0.68,0.38,0.52,0.22,0.43
Nigeria,103,4.88,0.75,0.05,0.28,0.03,0.23
Honduras,104,4.87,0.69,0.58,0.27,0.07,0.2
Iran,105,4.81,1.12,0.64,0.23,0.06,0.39
Zambia,106,4.8,0.61,0.24,0.43,0.11,0.18
Nepal,107,4.79,0.45,0.5,0.37,0.07,0.38
Palestinian Territories,108,4.75,0.67,0.57,0.18,0.11,0.11
Albania,109,4.66,0.96,0.73,0.32,0.05,0.17
Bangladesh,110,4.64,0.54,0.53,0.4,0.13,0.19
Sierra Leone,111,4.64,0.36,0,0.31,0.08,0.24
Iraq,112,4.58,1.07,0.51,0.25,0.14,0.2
Namibia,113,4.57,0.93,0.35,0.49,0.1,0.08
Cameroon,114,4.51,0.52,0.13,0.43,0.06,0.23
Ethiopia,115,4.51,0.29,0.35,0.37,0.17,0.3
South Africa,116,4.46,1.02,0.19,0.42,0.08,0.14
Sri Lanka,117,4.42,0.97,0.62,0.51,0.08,0.47
India,118,4.4,0.74,0.45,0.4,0.09,0.25
Myanmar,119,4.39,0.34,0.4,0.43,0.2,0.82
Egypt,120,4.36,0.95,0.52,0.19,0.1,0.13
Armenia,121,4.36,0.86,0.64,0.14,0.04,0.08
Kenya,122,4.36,0.52,0.3,0.41,0.07,0.41
Ukraine,123,4.32,0.87,0.59,0.13,0.02,0.2
Ghana,124,4.28,0.63,0.3,0.41,0.03,0.21
Congo (Kinshasa),125,4.27,0.06,0.19,0.16,0.06,0.25
Georgia,126,4.25,0.84,0.64,0.32,0.32,0.07
Congo (Brazzaville),127,4.24,0.77,0.28,0.38,0.1,0.12
Senegal,128,4.22,0.44,0.4,0.31,0.12,0.19
Bulgaria,129,4.22,1.11,0.68,0.21,0.01,0.13
Mauritania,130,4.2,0.61,0.29,0.13,0.18,0.23
Zimbabwe,131,4.19,0.35,0.16,0.25,0.09,0.19
Malawi,132,4.16,0.09,0.29,0.41,0.08,0.31
Sudan,133,4.14,0.63,0.3,0,0.1,0.18
Gabon,134,4.12,1.16,0.35,0.28,0.09,0.06
Mali,135,4.07,0.31,0.16,0.28,0.14,0.21
Haiti,136,4.03,0.34,0.27,0.12,0.14,0.48
Botswana,137,3.97,1.09,0.35,0.44,0.11,0.12
Comoros,138,3.96,0.28,0.3,0.15,0.18,0.18
Ivory Coast,139,3.92,0.56,0.04,0.41,0.16,0.2
Cambodia,140,3.91,0.56,0.42,0.59,0.08,0.4
Angola,141,3.87,0.85,0.05,0.01,0.08,0.12
Niger,142,3.86,0.13,0.26,0.38,0.17,0.21
South Sudan,143,3.83,0.39,0.16,0.2,0.13,0.26
Chad,144,3.76,0.42,0.04,0.13,0.05,0.19
Burkina Faso,145,3.74,0.32,0.21,0.33,0.13,0.24
Uganda,145,3.74,0.35,0.2,0.44,0.06,0.27
Yemen,147,3.72,0.58,0.31,0.23,0.06,0.1
Madagascar,148,3.7,0.28,0.37,0.14,0.08,0.22
Tanzania,149,3.67,0.47,0.36,0.32,0.05,0.31
Liberia,150,3.62,0.11,0.23,0.26,0.05,0.24
Guinea,151,3.61,0.22,0.19,0.31,0.12,0.3
Rwanda,152,3.52,0.33,0.32,0.54,0.51,0.24
Benin,153,3.48,0.39,0.21,0.4,0.07,0.2
Afghanistan,154,3.36,0.38,0.17,0.16,0.07,0.31
Togo,155,3.3,0.28,0.25,0.35,0.12,0.18
Syria,156,3.07,0.75,0.63,0.07,0.17,0.48
Burundi,157,2.9,0.07,0.16,0.04,0.09,0.2
